Symbol,Company,Yield Percentage,Next Ex-div Date
MCHP,Microchip Technology Incorporated,1.511%,2020-02-20
MSFT,Microsoft,1.214%,2020-02-19
MOFG,MidWestOne Financial Group,2.939%,2020-02-28
MSEX,Middlesex Water Company,1.581%,2020-02-13
MDLZ,Mondelez International,1.999%,2020-03-30
MNRO,Monro Muffler Brake,1.497%,2020-03-12
MORN,Morningstar,0.773%,2020-01-02
NXPI,NXP Semiconductors N.V.,1.256%,2019-12-13
NDAQ,Nasdaq,1.672%,2020-03-12
NKSH,National Bankshares,3.78%,2019-11-22
NAVI,Navient Corporation,5.145%,2020-03-05
NTAP,NetApp,3.934%,2020-04-02
NWL,Newell Brands,5.546%,2020-02-27
NWS,News Corporation,1.511%,2020-03-10
NXST,Nexstar Media Group,1.967%,2020-02-13
NDSN,Nordson Corporation,0.967%,2020-02-24
NTRS,Northern Trust Corporation,3.073%,2020-03-12
NRIM,Northrim BanCorp,3.397%,2019-12-18
NWBI,Northwest Bancshares,5.104%,2020-02-05
NLOK,NortonLifeLock,2.591%,2020-02-21
NWFL,Norwood Financial,2.976%,2020-01-14
NVDA,Nvidia Corporation,0.244%,2020-02-27
ONB,Old National Bancorp,3.241%,2020-02-28
OPOF,Old Point Financial Corporation,1.722%,2020-03-03
OTEX,Open Text Corporation,1.598%,2020-02-27
OTTR,Otter Tail Corporation,2.841%,2020-02-13
PCAR,PACCAR,1.829%,2020-02-10
PACW,PacWest Bancorp,7.02%,2020-02-19
PZZA,Papa Johns International,1.336%,2020-02-07
PEGI,Pattern Energy Group,6.103%,2019-12-30
PDCO,Patterson Companies,4.444%,2020-01-09
PAYX,Paychex,3.014%,2020-01-31
PEBK,Peoples Bancorp of North Carolina,2.264%,2020-03-02
PBCT,Peoples United Bank,4.613%,2020-01-30
PEP,PepsiCo,2.707%,2020-03-05
PETS,PetMed Express,3.886%,2020-01-31
POOL,Pool Corporation,1.011%,2019-11-13
POPE,Pope Resources,3.565%,2020-03-03
POWI,Power Integrations,0.828%,2020-02-27
QQQ,PowerShares QQQ Trust Ser 1,0.731%,2019-12-23
PRIM,Primoris Services Corporation,1.129%,2020-03-30
PFG,Principal Financial Group,4.527%,2020-02-28
PROV,Provident Financial Holdings,2.62%,2020-02-14
QCOM,QUALCOMM,3.113%,2020-03-04
RGCO,RGC Resources,2.523%,2020-04-14
RAVN,Raven Industries,1.82%,2020-01-09
REG,Regency Centers,3.847%,2020-02-21
RBCAA,Republic Bancorp Inc. Class A Common Stock,2.905%,2020-03-19
RECN,Resources Connection,4.328%,2020-02-19
ROIC,Retail Opportunity Investments,4.851%,2020-03-13
ROST,Ross Stores,0.874%,2019-12-05
RGLD,Royal Gold,1.043%,2020-01-02
SBFG,SB Financial Group,1.946%,2020-02-06
SEIC,SEI Investments Company,1.103%,2019-12-26
SBRA,Sabra Healthcare REIT,8.483%,2020-02-13
SASR,Sandy Spring Bancorp,3.577%,2020-02-11
STX,Seagate Technology,5.157%,2020-03-24
SCVL,Shoe Carnival,1.021%,2020-01-10
BSRR,Sierra Bancorp,3.126%,2020-01-29
SLGN,Silgan Holdings,1.418%,2019-11-29
SFNC,Simmons First National Corporation,2.897%,2020-03-13
SBGI,Sinclair Broadcast Group,3.425%,2020-03-06
SIRI,Sirius XM Holdings,0.763%,2020-02-11
SWKS,Skyworks Solutions,1.658%,2020-02-10
SLRC,Solar Capital,8.428%,2020-03-18
SOHO,Sotherly Hotels,9.286%,2020-03-12
SFBC,Sound Financial Bancorp,1.662%,2020-02-07
SSB,South State Corporation,2.502%,2020-02-06
SMBC,Southern Missouri Bancorp,1.714%,2020-02-13
SBSI,Southside Bancshares,3.611%,2020-02-19
SPTN,SpartanNash Company,5.963%,2019-12-09
SBUX,Starbucks,1.995%,2020-02-05
STLD,Steel Dynamics,3.422%,2019-12-30
SYBT,Stock Yards Bancorp,2.895%,2020-03-12
STRT,Strattec Security Corporation,2.478%,2019-12-12
TROW,T Rowe Price Group,2.843%,2020-03-13
AMTD,TD Ameritrade,2.843%,2020-02-04
TXN,Texas Instruments,3.041%,2020-01-30
TXRH,Texas Roadhouse,2.249%,2020-03-10
ANDE,The Andersons,3.675%,2020-03-31
CG,The Carlyle Group,3.415%,2020-02-14
CAKE,The Cheesecake Factory Incorporated,3.709%,2020-03-06
ENSG,The Ensign Group,0.418%,2019-12-30
FLIC,The First of Long Island Corporation,3.24%,2020-01-07
KHC,The Kraft Heinz Company,6.137%,2020-03-12
YORW,The York Water Company,1.559%,2020-02-27
TSBK,Timberland Bancorp,3.15%,2020-02-13
TOWN,Towne Bank,2.791%,2019-12-27
TSCO,Tractor Supply Company,1.53%,2020-02-21
TCBK,TriCo Bancshares,2.477%,2019-12-12
TRMK,Trustmark Corporation,3.069%,2020-02-27
FOXA,Twenty-First Century Fox,1.403%,2020-03-03
UMBF,UMB Financial Corporation,1.968%,2020-03-09
UMPQ,Umpqua Holdings Corporation,5.036%,2019-12-30
UNB,Union Bankshares,4.088%,2020-01-24
UBOH,United Bancshares,2.494%,2020-02-27
UBSI,United Bankshares,4.456%,2020-03-12
UFCS,United Fire Group,3.104%,2020-03-05
UNIT,Uniti Group,8.502%,2019-12-30
UTMD,Utah Medical Products,1.178%,2020-03-12
VSEC,VSE Corporation,1.281%,2020-01-28
VLY,Valley National Bancorp,4.288%,2019-12-12
VRSK,Verisk Analytics,0.663%,2020-03-12
VIAC,ViacomCBS,3.785%,2020-03-13
VOD,Vodafone Grp PLC (ADR),5.151%,2019-11-27
WDFC,WD-40 Company,1.497%,2020-01-16
WBA,Walgreens Boots Alliance,3.839%,2020-02-18
WAFD,Washington Federal,2.673%,2020-02-06
WASH,Washington Trust Bancorp,4.398%,2019-12-31
WEN,Wendys,2.091%,2020-02-28
WSBC,WesBanco,3.81%,2019-12-12
WTBA,West Bancorporation,3.775%,2020-02-04
WABC,Westamerica Bancorporation,2.632%,2020-01-31
WDC,Western Digital,3.36%,2020-04-02
WEYS,Weyco Group,4.305%,2019-11-27
WLTW,Willis Towers Watson Public Limited Company,1.283%,2019-12-30
WINA,Winmark Corporation,0.493%,2020-02-11
WYNN,Wynn Resorts,3.512%,2020-02-25
XEL,Xcel Energy,2.499%,2020-03-12
XLNX,Xilinx,1.764%,2020-02-10
EBAY,eBay,1.755%,2020-02-28
ICLN,iShares S&P Global Clean Energy Index Fund,1.207%,2019-12-16
HYG,iShares iBoxx $ High Yield Corporate Bond,5.03%,2020-02-03
