Symbol,Company,Yield Percentage,Next Ex-div Date
EOG,EOG Resources,1.717%,2020-01-16
EPR,EPR Properties,6.855%,2020-02-27
EQM,EQT Midstream Partners LP representing Limite,21.158%,2020-02-03
MJ,ETFMG Alternative Harvest,5.992%,2019-12-30
EGP,EastGroup Properties,2.218%,2019-12-27
EMN,Eastman Chemical Company,3.966%,2020-03-13
ETN,Eaton,2.892%,2019-10-31
EV,Eaton Vance Corporation,3.279%,2020-01-30
ECL,Ecolab,0.965%,2019-12-16
EIX,Edison International,3.396%,2019-12-30
EE,El Pasoectric Company,2.257%,2019-12-12
LLY,Eli Lilly & Company,2.186%,2020-02-13
EMR,Emerson Electric,3.003%,2020-02-13
ENLC,EnLink Midstream LLC representing Limited Par,18.657%,2020-01-30
ENB,Enbridge,6.126%,2020-02-13
ET,Energy Transfer LP,10.873%,2020-02-06
ETR,Entergy,2.945%,2020-02-12
EPD,Enterprise Products Partners,7.42%,2020-01-30
EFX,Equifax,1.025%,2020-03-03
EQNR,Equinor (ADR),6.545%,2020-02-18
ELS,Equity Lifestyle Properties,1.818%,2020-03-26
EQR,Equity Residential,2.718%,2019-12-31
ESS,Essex Property Trust,2.614%,2020-03-30
EL,Estee Lauder Cos.,1.003%,2020-02-27
ETH,Ethan Allen Interiors,6.283%,2020-04-08
EVBN,Evans Bancorp,2.937%,2020-03-11
EVR,Evercore Partners Inc Class A,3.14%,2020-02-27
ES,Eversource Energy (D/B/A),2.431%,2020-03-03
EXC,Exelon,3.212%,2020-02-19
EXR,Extra Space Storage,3.364%,2020-03-13
XOM,Exxon Mobil,6.421%,2020-02-10
FNB,F.N.B.,4.36%,2020-03-04
FFG,FBL Financial Group,3.713%,2019-12-13
FRC,FIRST REPUBLIC BANK,0.691%,2020-01-29
FMC,FMC Corporation,1.801%,2019-12-30
FNF,FNF Group of Fidelity National Financial,3.125%,2020-03-16
FDS,FactSet Research Systems,1.00%,2020-02-27
FDX,FedEx Corporation,1.786%,2020-03-06
AGM,Federal Agricultural Mortgage Corporation,4.04%,2019-12-13
FRT,Federal Realty Investment Trust,3.38%,2020-03-13
FAF,First American Corporation,2.846%,2020-03-06
FHN,First Horizon National Corporation,3.981%,2020-03-12
FR,First Industrial Realty Trust,2.328%,2020-03-30
FE,FirstEnergy,3.191%,2020-02-06
FLO,Flowers Foods,3.504%,2020-02-27
FLS,Flowserve Corporation,1.917%,2020-03-26
FLR,Fluor,3.234%,2020-02-28
FL,Foot Locker,4.666%,2020-04-16
F,Ford Motor,8.299%,2020-01-29
FTV,Fortive Corporation,0.398%,2020-02-27
FBHS,Fortune Brands Home & Security,1.43%,2020-02-27
FNV,Franco-Nevada Corporation,0.848%,2020-03-11
BEN,Franklin Resources,4.58%,2020-03-30
FSP,Franklin Street Properties,4.852%,2020-01-23
FCX,Freeport-McMoran Cp & Gld,1.864%,2020-01-14
GATX,GATX Corporation,2.555%,2020-02-27
GME,GameStop,42.697%,2019-03-14
GCI,Gannett,12.574%,2019-10-31
GPS,Gap,6.311%,2020-01-07
GD,General Dynamics,2.346%,2020-01-16
GE,General Electric,0.353%,2020-03-06
GIS,General Mills,3.731%,2020-04-08
GM,General Motors,4.787%,2020-03-05
GEL,Genesis Energy,18.364%,2020-01-30
GPC,Genuine Parts,3.433%,2020-03-05
GTY,Getty Realty Corporation,4.707%,2019-12-24
GIL,Gildan Activewear (USA),2.463%,2020-03-11
GLT,Glatfelter,3.419%,2020-04-02
GSK,GlaxoSmithKline PLC ADS,5.78%,2020-02-20
GMRE,Global Medical REIT Inc.,5.309%,2019-12-24
GPN,Global Payments,0.408%,2020-03-12
GS,Goldman Sachs Group,2.298%,2020-02-28
GRC,Gorman-Rupp Company,1.715%,2020-02-13
GGG,Graco,1.308%,2020-04-17
EVRG,Great Plains Energy,2.882%,2019-11-26
GBX,Greenbrier Companies Inc. (The),4.296%,2020-01-27
GHL,Greenhill & Co.,3.807%,2020-03-03
GEF,Greif Inc. Cl A,4.703%,2019-12-17
GFF,Griffon Corporation,1.59%,2020-02-19
GPI,Group 1 Automotive,1.195%,2020-02-28
GES,Guess,2.483%,2019-12-10
HRB,H&R Block,4.736%,2019-12-06
FUL,H. B. Fuller Company,1.463%,2020-01-29
HCA,HCA Holdings,1.293%,2020-02-28
HDB,HDFC Bank Limited,0.585%,2019-07-31
HNI,HNI Corporation,3.449%,2020-02-21
HAL,Halliburton,3.787%,2020-03-03
HBI,Hanesbrands,4.736%,2020-02-14
HASI,Hannon Armstrong Sustainable Infrastructure C,3.564%,2020-04-01
THG,Hanover Insurance Group,1.996%,2019-12-13
HOG,Harley-Davidson,4.64%,2020-03-04
HIG,Hartford Financial Services Group,2.352%,2020-02-28
HE,Hawaiian Electric Industries,2.746%,2020-02-25
HR,Healthcare Realty Trust,3.265%,2020-02-21
HTA,Healthcare Trust of America,3.787%,2020-04-01
